2000  1.53894  0.48649  0.15566  0.00618  0.00082  0.00000  0.00294  0.00000  0.00000  0.00032  0.00221  0.00000  0.00015  0.00000  0.00000  0.00000  0.06565  0.17296  0.02451  0.00508  0.001620  0.01273  0.00299  0.001191  0.000902  0.0001353  0.02832  0.00151  0.00210  0.000000  0.00236  0.37800 -0.11743 -0.44187 -0.11047 -0.88374  0.01940  0.13400  1.49368525   0.76038740   0.13290899
2001  1.55823  0.48629  0.15844  0.00626  0.00082  0.00000  0.00293  0.00000  0.00000  0.00031  0.00339  0.00000  0.00007  0.00000  0.00000  0.00000  0.06521  0.17399  0.02465  0.00509  0.001634  0.01236  0.00245  0.001198  0.000922  0.0001325  0.03064  0.00178  0.00254  0.000062  0.00240  0.37500 -0.11488 -0.43306 -0.11159 -0.87200  0.01940  0.13064  1.53529373   0.78794777   0.16046935
2002  1.57950  0.48723  0.16126  0.00633  0.00082  0.00000  0.00292  0.00000  0.00000  0.00030  0.00470  0.00000  0.00003  0.00000  0.00000  0.00000  0.06475  0.17493  0.02476  0.00509  0.001646  0.01199  0.00201  0.001200  0.000940  0.0001295  0.03287  0.00201  0.00296  0.000103  0.00245  0.37237 -0.11263 -0.42425 -0.11271 -0.86012  0.01943  0.12728  1.58028981   0.81682353   0.18934512
2003  1.60105  0.48937  0.16414  0.00641  0.00082  0.00000  0.00291  0.00000  0.00000  0.00029  0.00614  0.00000  0.00002  0.00000  0.00000  0.00000  0.06428  0.17578  0.02483  0.00510  0.001656  0.01162  0.00165  0.001197  0.000958  0.0001262  0.03501  0.00221  0.00335  0.000136  0.00249  0.37103 -0.11061 -0.41544 -0.11383 -0.84810  0.01952  0.12391  1.62801678   0.84639916   0.21892075
2004  1.62287  0.49269  0.16705  0.00648  0.00082  0.00000  0.00290  0.00000  0.00000  0.00028  0.00770  0.00000  0.00001  0.00000  0.00000  0.00000  0.06379  0.17656  0.02488  0.00510  0.001665  0.01126  0.00135  0.001191  0.000975  0.0001228  0.03708  0.00238  0.00372  0.000166  0.00252  0.36901 -0.10959 -0.40664 -0.11495 -0.83593  0.01965  0.12055  1.67566160   0.87630159   0.24882317
2005  1.64494  0.49721  0.17003  0.00655  0.00082  0.00000  0.00289  0.00000  0.00000  0.00027  0.00936  0.00000  0.00000  0.00000  0.00000  0.00000  0.06328  0.17725  0.02490  0.00509  0.001673  0.01089  0.00111  0.001181  0.000991  0.0001192  0.03908  0.00252  0.00407  0.000194  0.00255  0.36756 -0.10834 -0.39709 -0.11618 -0.82258  0.01984  0.11719  1.72738758   0.90681600   0.27933759
2006  1.66724  0.50278  0.17307  0.00661  0.00082  0.00000  0.00288  0.00000  0.00000  0.00026  0.01114  0.00000  0.00000  0.00000  0.00000  0.00000  0.06277  0.17786  0.02489  0.00509  0.001679  0.01053  0.00091  0.001167  0.001007  0.0001154  0.04103  0.00264  0.00440  0.000221  0.00258  0.36634 -0.10711 -0.38829 -0.11719 -0.81009  0.02006  0.11383  1.77925729   0.93784911   0.31037069
2007  1.68975  0.50871  0.17604  0.00668  0.00082  0.00000  0.00287  0.00000  0.00000  0.00025  0.01301  0.00000  0.00000  0.00000  0.00000  0.00000  0.06223  0.17839  0.02485  0.00508  0.001684  0.01018  0.00075  0.001149  0.001022  0.0001115  0.04294  0.00274  0.00471  0.000249  0.00261  0.36518 -0.10594 -0.37948 -0.11842 -0.79744  0.02030  0.11047  1.83149914   0.96931582   0.34183741
2008  1.71246  0.51468  0.17891  0.00674  0.00082  0.00000  0.00286  0.00000  0.00000  0.00025  0.01498  0.00000  0.00000  0.00000  0.00000  0.00000  0.06168  0.17884  0.02479  0.00508  0.001687  0.00982  0.00062  0.001128  0.001036  0.0001074  0.04480  0.00282  0.00501  0.000277  0.00262  0.36412 -0.10487 -0.37067 -0.11954 -0.78463  0.02054  0.10710  1.88406304   1.00119025   0.37371184
2009  1.73532  0.52102  0.18178  0.00679  0.00082  0.00000  0.00285  0.00000  0.00000  0.00024  0.01705  0.00000  0.00000  0.00000  0.00000  0.00000  0.06112  0.17922  0.02469  0.00507  0.001689  0.00947  0.00051  0.001105  0.001050  0.0001031  0.04662  0.00288  0.00529  0.000305  0.00264  0.36303 -0.10386 -0.36186 -0.12066 -0.77166  0.02079  0.10374  1.93714536   1.03346118   0.40598276
