YEAR ANTCO2 ANTCH4 ANTN2O ANTCO2EQ ABLCO2 ABLCH4 ABLN2O MACCO2 MACCH4 MACN2O ABCCO2 ABCCH4 ABCN2O CONCO2 CONCH4 CONN2O CONrOH RADCO2 RADCH4 RADN2O RADO3TRP RADHALO RADSF6 RADSO2 RADCRBAER RADAERIND RADTTL T2M pH OCNCO2UP LNDCO2UP DSCCUR ANTQ1M ANTQ2M ANTQ3M HCIO HCML HCAL
2000    8.3000    310.19    6.11   42.00    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   369.82  1752.10   317.04   1.0000   1.5427   0.4865   0.1556   0.3780   0.3323   0.0024  -0.4530  -0.1132  -0.9060   1.4613   0.7598   8.0816    1.691649    2.595588         1.00           13.847453            0.006476            1.076794            0.000000            0.000000            0.000000
2001    8.3700    312.90    6.19   42.39    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   371.69  1751.56   317.91   0.9955   1.5696   0.4863   0.1584   0.3750   0.3364   0.0024  -0.4440  -0.1144  -0.8939   1.5111   0.7892   8.0798    1.724845    2.629691         1.04           27.714053            0.013051            2.161630            0.987540            2.404125            0.085829
2002    8.4500    322.28    6.36   43.04    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   373.59  1754.08   318.80   0.9904   1.5968   0.4872   0.1612   0.3724   0.3405   0.0024  -0.4349  -0.1155  -0.8818   1.5624   0.8204   8.0780    1.752797    2.663814         1.08           27.752449            0.013247            2.177771            1.002332            2.437987            0.098835
2003    8.5200    328.12    6.43   43.51    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   375.49  1759.81   319.71   0.9860   1.6239   0.4894   0.1641   0.3710   0.3445   0.0025  -0.4259  -0.1167  -0.8694   1.6162   0.8527   8.0761    1.780412    2.692588         1.12           27.791055            0.013445            2.194028            1.028376            2.475359            0.104927
2004    8.6000    338.94    6.59   44.20    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   377.41  1768.69   320.63   0.9802   1.6511   0.4927   0.1670   0.3690   0.3484   0.0025  -0.4169  -0.1178  -0.8570   1.6697   0.8855   8.0743    1.807666    2.718053         1.17           27.829873            0.013646            2.210401            1.058327            2.513243            0.107171
2005    8.6700    346.40    6.69   44.73    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   379.33  1780.83   321.57   0.9734   1.6782   0.4972   0.1700   0.3676   0.3523   0.0026  -0.4071  -0.1191  -0.8433   1.7271   0.9191   8.0725    1.834582    2.741007         1.22           27.868906            0.013848            2.226892            1.090533            2.559056            0.110830
2006    8.7500    356.47    6.87   45.41    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   381.27  1795.85   322.53   0.9664   1.7054   0.5028   0.1730   0.3663   0.3560   0.0026  -0.3981  -0.1201  -0.8305   1.7843   0.9534   8.0706    1.861172    2.762160         1.27           27.908157            0.014054            2.243501            1.124316            2.613226            0.112796
2007    8.8200    355.02    6.60   45.53    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   383.22  1811.93   323.48   0.9594   1.7327   0.5087   0.1760   0.3652   0.3597   0.0026  -0.3890  -0.1214  -0.8175   1.8418   0.9882   8.0688    1.887441    2.782152         1.32           27.947629            0.014262            2.260228            1.158194            2.658636            0.114379
2008    8.9000    360.49    6.64   46.02    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   385.18  1828.18   324.39   0.9523   1.7600   0.5147   0.1789   0.3641   0.3633   0.0026  -0.3800  -0.1225  -0.8044   1.8995   1.0236   8.0670    1.913249    2.801232         1.37           27.987324            0.014474            2.277075            1.191935            2.699468            0.115878
2009    8.9600    364.20    6.71   46.40    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   387.16  1845.50   325.30   0.9453   1.7873   0.5210   0.1818   0.3630   0.3669   0.0026  -0.3710  -0.1237  -0.7911   1.9575   1.0594   8.0651    1.938432    2.819421         1.42           28.027246            0.014690            2.294041            1.225491            2.737916            0.117307
